host_id,total_guests,raw_black,prop_black,any_black,past_guest_merge
267494,,0,0,0,master only (1)
271666,22,0,0,0,matched (3)
273797,5,0,0,0,matched (3)
276785,102,2,.019607844,1,matched (3)
276914,48,0,0,0,matched (3)
279760,47,0,0,0,matched (3)
281372,101,0,0,0,matched (3)
281706,33,1,.030303031,1,matched (3)
283146,95,1,.010526316,1,matched (3)
283229,34,1,.029411765,1,matched (3)
288921,1,0,0,0,matched (3)
294390,4,0,0,0,matched (3)
294812,105,0,0,0,matched (3)
295543,8,0,0,0,matched (3)
300626,1,0,0,0,matched (3)
304070,1,0,0,0,matched (3)
307065,,0,0,0,master only (1)
308609,,0,0,0,master only (1)
308977,14,0,0,0,matched (3)
309512,119,0,0,0,matched (3)
312496,3,0,0,0,matched (3)
312887,13,3,.23076923,1,matched (3)
315148,42,2,.047619049,1,matched (3)
318821,1,0,0,0,matched (3)
318829,71,1,.014084507,1,matched (3)
320168,27,0,0,0,matched (3)
321936,5,0,0,0,matched (3)
322846,23,1,.043478262,1,matched (3)
323641,57,0,0,0,matched (3)
325435,46,0,0,0,matched (3)
326964,7,1,.14285715,1,matched (3)
328471,56,0,0,0,matched (3)
329516,9,2,.22222222,1,matched (3)
329915,6,1,.16666667,1,matched (3)
330016,40,1,.025,1,matched (3)
331533,,0,0,0,master only (1)
332837,3,0,0,0,matched (3)
333630,71,0,0,0,matched (3)
335499,21,0,0,0,matched (3)
337618,,0,0,0,master only (1)
340163,1,0,0,0,matched (3)
341125,19,0,0,0,matched (3)
342270,34,1,.029411765,1,matched (3)
343320,127,0,0,0,matched (3)
343761,19,4,.21052632,1,matched (3)
343842,75,1,.013333334,1,matched (3)
347309,68,1,.014705882,1,matched (3)
349646,,0,0,0,master only (1)
362477,,0,0,0,master only (1)
365084,20,0,0,0,matched (3)
366343,251,1,.0039840639,1,matched (3)
368880,,0,0,0,master only (1)
369386,56,0,0,0,matched (3)
371494,6,0,0,0,matched (3)
372227,21,2,.095238097,1,matched (3)
377015,18,0,0,0,matched (3)
382184,42,1,.023809524,1,matched (3)
383921,5,0,0,0,matched (3)
389657,57,0,0,0,matched (3)
390796,1,0,0,0,matched (3)
391190,84,0,0,0,matched (3)
393038,39,1,.025641026,1,matched (3)
393829,9,0,0,0,matched (3)
394279,16,1,.0625,1,matched (3)
395823,,0,0,0,master only (1)
